Variable,Modalité,Référence,Rel_Freq,Rel_Sev,Rel_Combined
Power,d,True,1.0,1.0,1.0
Power,f,False,1.1060714845144644,1.286415362234295,1.4228673494086992
Power,h,False,1.1319765987753614,1.0609906511835214,1.2010165886591784
Power,i_j_k,False,1.2424400884039162,1.612561425607588,2.0035109601886365
Power,l_o_g,False,1.083641361531827,1.1789572397860746,1.2775668285095865
Power,m_e,False,1.102170157122088,1.074567642777258,1.1843563876781222
Power,n,False,1.263532146833182,1.333407938754759,1.6848037954592088
Brand,Japanese (except Nissan) or Korean,True,1.0,1.0,1.0
Brand,MCB_Fiat,False,1.298208908094942,0.8511692834828108,1.104995546114174
Brand,"Opel, General Motors or Ford",False,1.357278889777475,0.8588235635889943,1.165663092902805
Brand,RNC_other,False,1.1923920182299623,0.9626009038954445,1.1477976345458751
Brand,"Volkswagen, Audi, Skoda or Seat",False,1.2521895182451146,0.9605351320045855,1.2027720242023294
Region,Centre_Bretagne_Normandie,True,1.0,1.0,1.0
Region,Ile-de-France,False,1.090944870853576,0.7619615914468592,0.8312580899763791
Region,NPC_Limousin,False,1.1149231730903961,0.7810991691908723,0.8708655642125596
Region,PL_PC_Aquitaine,False,1.0605650130007316,0.744987905291989,0.790108107461386
DriverAge_class,DriverAge_class_1,True,1.0,1.0,1.0
DriverAge_class,DriverAge_class_2,False,0.6757212234017675,0.7463754318014509,0.504341719893899
DriverAge_class,DriverAge_class_3,False,0.7722255770602461,0.6160512715643736,0.47573054868249676
DriverAge_class,DriverAge_class_4,False,0.735871434420072,0.671029973392838,0.4937917890594504
DriverAge_class,DriverAge_class_5,False,0.6424718024036946,0.7432405300404096,0.47751108295453926
CarAge_class,CarAge_class_1,True,1.0,1.0,1.0
CarAge_class,CarAge_class_2,False,0.9581552046314964,1.0,0.9581552046314964
Gas,Diesel,True,1.0,1.0,1.0
Gas,Regular,False,0.851953244772892,1.1045006686192411,0.9409829284839912
Density_class,Density_class_1,True,1.0,1.0,1.0
Density_class,Density_class_2,False,1.170220839804379,1.037903288709835,1.2145760581497498
Density_class,Density_class_3,False,1.2844250315128838,0.9492484305448295,1.2192384453160983
Density_class,Density_class_4,False,1.5329665603316582,0.9127746246886698,1.3992529767670103
Density_class,Density_class_5,False,1.7153968420234569,0.85215966193469,1.4617919929825438
